	tile	X	Y	width	height	color	colorpart x 	colorpart y	colorpart width 	colorpart height	color	rotate 
1	GO	2200	2200	400	400	d6e9d5	2200	2200	400	400	d6e9d5	0
2	Mediterranean Avenue	2000	2200	200	400	d6e9d5	2000	2200	200	100	5C4033	0
3	Community Chest	1800	2200	200	400	d6e9d5	1800	2200	200	100	d6e9d5	0
4	Baltic Avenue	1600	2200	200	400	d6e9d5	1600	2200	200	100	5C4033	0
5	Income tax	1400	2200	200	400	d6e9d5	1400	2200	200	100	d6e9d5	0
6	Reading Railroad	1200	2200	200	400	d6e9d5	1200	2200	200	100	d6e9d5	0
7	Oriental Avenue	1000	2200	200	400	d6e9d5	1000	2200	200	100	97ccf1	0
8	Chance	800	2200	200	400	d6e9d5	800	2200	200	100	d6e9d5	0
9	Vermont Avenue	600	2200	200	400	d6e9d5	600	2200	200	100	97ccf1	0
10	Connecticut Avenue	400	2200	200	400	d6e9d5	400	2200	200	100	97ccf1	0
11	In Jail/Just Visiting	0	2200	400	400	d6e9d5	0	2200	400	400	d6e9d5	0
12	St. Charles Place	0	2000	400	200	d6e9d5	300	2000	100	200	ef63a4	90
13	Electric Company	0	1800	400	200	d6e9d5	300	1800	100	200	d6e9d5	90
14	States Avenue	0	1600	400	200	d6e9d5	300	1600	100	200	ef63a4	90
15	Virginia Avenue	0	1400	400	200	d6e9d5	300	1400	100	200	ef63a4	90
16	Pennsylvania Railroad	0	1200	400	200	d6e9d5	300	1200	100	200	d6e9d5	90
17	St. James Place	0	1000	400	200	d6e9d5	300	1000	100	200	ec9b0e	90
18	Community Chest	0	800	400	200	d6e9d5	300	800	100	200	d6e9d5	90
19	Tennessee Avenue	0	600	400	200	d6e9d5	300	600	100	200	ec9b0e	90
20	New York Avenue	0	400	400	200	d6e9d5	300	400	100	200	ec9b0e	90
21	Free Parking	0	0	400	400	d6e9d5	0	0	400	400	d6e9d5	180
22	Kentucky Avenue	400	0	200	400	d6e9d5	400	300	200	100	dd0927	180
23	Chance	600	0	200	400	d6e9d5	600	300	200	100	d6e9d5	180
24	Indiana Avenue	800	0	200	400	d6e9d5	800	300	200	100	dd0927	180
25	Illinois Avenue	1000	0	200	400	d6e9d5	1000	300	200	100	dd0927	180
26	B&O Railroad	1200	0	200	400	d6e9d5	1200	300	200	100	d6e9d5	180
27	Atlantic Avenue	1400	0	200	400	d6e9d5	1400	300	200	100	FFEB00	180
28	Ventnor Avenue	1600	0	200	400	d6e9d5	1600	300	200	100	FFEB00	180
29	Water Works	1800	0	200	400	d6e9d5	1800	300	200	100	d6e9d5	180
30	Marvin Gardens	2000	0	200	400	d6e9d5	2000	300	200	100	FFEB00	180
31	Go To Jail	2200	0	400	400	d6e9d5	2200	0	400	400	d6e9d5	270
32	Pacific Avenue	2200	400	400	200	d6e9d5	2200	400	100	200	02ac5a	270
33	North Carolina Avenue	2200	600	400	200	d6e9d5	2200	600	100	200	02ac5a	270
34	Community Chest	2200	800	400	200	d6e9d5	2200	800	100	200	d6e9d5	270
35	Pennsylvania Avenue	2200	1000	400	200	d6e9d5	2200	1000	100	200	02ac5a	270
36	Short Line	2200	1200	400	200	d6e9d5	2200	1200	100	200	d6e9d5	270
37	chance	2200	1400	400	200	d6e9d5	2200	1400	100	200	d6e9d5	270
38	Park Place	2200	1600	400	200	d6e9d5	2200	1600	100	200	00008b	270
39	Luxury tax	2200	1800	400	200	d6e9d5	2200	1800	100	200	d6e9d5	270
40	Boardwalk	2200	2000	400	200	d6e9d5	2200	2000	100	200	00008b	270
